arxiv_id,title,authors,src,url,pub_date,upd_date,doi,abstract
2401.06120,Reconstruction for the Calderón problem with Lipschitz conductivities,"['Pedro Caro', 'María Ángeles García-Ferrero', 'Keith M. Rogers']",ARXIV,http://arxiv.org/pdf/2401.06120v1,2024-01-11T18:55:51Z,2024-01-11T18:55:51Z,['10.48550/arXiv.2401.06120'],"We determine the conductivity of the interior of a body using electrical measurements on its surface. We assume only that the conductivity is bounded below by a positive constant and that the conductivity and surface are Lipschitz continuous. To determine the conductivity we first solve an associated integral equation locally, finding solutions in $H^1(B)$, where $B$ is a ball that properly contains the body. A key ingredient is to equip this Sobolev space with an equivalent norm which depends on two auxiliary parameters that can be chosen to yield a contraction."
2401.05539,A Bilevel Optimization Method for Inverse Mean-Field Games,"['Jiajia Yu', 'Quan Xiao', 'Tianyi Chen', 'Rongjie Lai']",ARXIV,http://arxiv.org/pdf/2401.05539v1,2024-01-10T20:27:48Z,2024-01-10T20:27:48Z,['10.48550/arXiv.2401.05539'],"In this paper, we introduce a bilevel optimization framework for addressing inverse mean-field games, alongside an exploration of numerical methods tailored for this bilevel problem. The primary benefit of our bilevel formulation lies in maintaining the convexity of the objective function and the linearity of constraints in the forward problem. Our paper focuses on inverse mean-field games characterized by unknown obstacles and metrics. We show numerical stability for these two types of inverse problems. More importantly, we, for the first time, establish the identifiability of the inverse mean-field game with unknown obstacles via the solution of the resultant bilevel problem. The bilevel approach enables us to employ an alternating gradient-based optimization algorithm with a provable convergence guarantee. To validate the effectiveness of our methods in solving the inverse problems, we have designed comprehensive numerical experiments, providing empirical evidence of its efficacy."
2401.05753,BEC: Bit-Level Static Analysis for Reliability against Soft Errors,"['Yousun Ko', 'Bernd Burgstaller']",ARXIV,http://arxiv.org/pdf/2401.05753v1,2024-01-11T09:03:47Z,2024-01-11T09:03:47Z,['10.48550/arXiv.2401.05753'],"Soft errors are a type of transient digital signal corruption that occurs in digital hardware components such as the internal flip-flops of CPU pipelines, the register file, memory cells, and even internal communication buses. Soft errors are caused by environmental radioactivity, magnetic interference, lasers, and temperature fluctuations, either unintentionally, or as part of a deliberate attempt to compromise a system and expose confidential data. We propose a bit-level error coalescing (BEC) static program analysis and its two use cases to understand and improve program reliability against soft errors. The BEC analysis tracks each bit corruption in the register file and classifies the effect of the corruption by its semantics at compile time. The usefulness of the proposed analysis is demonstrated in two scenarios, fault injection campaign pruning, and reliability-aware program transformation. Experimental results show that bit-level analysis pruned up to 30.04 % of exhaustive fault injection campaigns (13.71 % on average), without loss of accuracy. Program vulnerability was reduced by up to 13.11 % (4.94 % on average) through bit-level vulnerability-aware instruction scheduling. The analysis has been implemented within LLVM and evaluated on the RISC-V architecture. To the best of our knowledge, the proposed BEC analysis is the first bit-level compiler analysis for program reliability against soft errors. The proposed method is generic and not limited to a specific computer architecture."
2401.05931,Stereographic Projections for Designs on the Sphere,['Linda M. Haines'],ARXIV,http://arxiv.org/pdf/2401.05931v1,2024-01-11T14:10:01Z,2024-01-11T14:10:01Z,['10.48550/arXiv.2401.05931'],"This paper is concerned with the use of the stereographic projection in order to map the sphere points of designs for regression models in three variables and design space the unit ball onto the two-dimensional stereogram. Details of the projection and its attendant stereogram are given. Stereograms which represent the spherical component of designs with points on the sphere and the centre of the unit ball, including the central composite and the Box-Behnken designs, are introduced. In addition, an example in which stereograms are used to elucidate the geometric isomorphism of a suite of designs generated by an exchange algorithm is presented."
2401.05517,On Efficient Inference of Causal Effects with Multiple Mediators,"['Haoyu Wei', 'Hengrui Cai', 'Chengchun Shi', 'Rui Song']",ARXIV,http://arxiv.org/pdf/2401.05517v1,2024-01-10T19:28:01Z,2024-01-10T19:28:01Z,['10.48550/arXiv.2401.05517'],"This paper provides robust estimators and efficient inference of causal effects involving multiple interacting mediators. Most existing works either impose a linear model assumption among the mediators or are restricted to handle conditionally independent mediators given the exposure. To overcome these limitations, we define causal and individual mediation effects in a general setting, and employ a semiparametric framework to develop quadruply robust estimators for these causal effects. We further establish the asymptotic normality of the proposed estimators and prove their local semiparametric efficiencies. The proposed method is empirically validated via simulated and real datasets concerning psychiatric disorders in trauma survivors."
2401.06036,"A new ""gold standard"": perturbative triples corrections in unitary coupled cluster theory and prospects for quantum computing","['Zachary W. Windom', 'Daniel Claudino', 'Rodney J. Bartlett']",ARXIV,http://arxiv.org/pdf/2401.06036v1,2024-01-11T16:50:14Z,2024-01-11T16:50:14Z,['10.48550/arXiv.2401.06036'],"A major difficulty in quantum simulation is the adequate treatment of a large collection of entangled particles, synonymous with electron correlation in electronic structure theory, with coupled cluster (CC) theory being the leading framework in dealing with this problem. Augmenting computationally affordable low-rank approximations in CC theory with a perturbative account of higher-rank excitations is a tractable and effective way of accounting for the missing electron correlation in those approximations. This is perhaps best exemplified by the ""gold standard"" CCSD(T) method, which bolsters the baseline CCSD with effects of triple excitations using considerations from many-body perturbation theory (MBPT). Despite this established success, such a synergy between MBPT and the unitary analog of CC theory (UCC) has not been explored. In this work, we propose a similar approach wherein converged UCCSD amplitudes, which can be obtained on a quantum computer, are leveraged by a classical computer to evaluate energy corrections associated with triple excitations - leading to the UCCSD[T] and UCCSD(T*) methods. The rationale behind these choices is shown to be rigorous by studying the properties of finite-order UCC energy functionals. Although our efforts do not support the addition of the fifth-order contribution as in the (T) correction, comparisons are nevertheless made using a hybrid UCCSD(T) approach. We assess the performance of these approaches on a collection of small molecules, and demonstrate the benefits of harnessing the inherent synergy between MBPT and UCC theories."
2401.05874,Asymptotics of commuting $\ell$-tuples in symmetric groups and log-concavity,"['Kathrin Bringmann', 'Johann Franke', 'Bernhard Heim']",ARXIV,http://arxiv.org/pdf/2401.05874v1,2024-01-11T12:34:17Z,2024-01-11T12:34:17Z,['10.48550/arXiv.2401.05874'],"Denote by $N_{\ell}(n)$ the number of $\ell$-tuples of elements in the symmetric group $S_n$ with commuting components, normalized by the order of $S_n$. In this paper, we prove asymptotic formulas for $N_\ell(n)$. In addition, general criteria for log-concavity are shown, which can be applied to $N_\ell(n)$ among other examples. Moreover, we obtain a Bessenrodt-Ono type theorem which gives an inequality of the form $c(a)c(b) > c(a+b)$ for certain families of sequences $c(n)$."
2401.04108,Working with Trouble and Failures in Conversation between Humans and Robots (WTF 2023) & Is CUI Design Ready Yet?,"['Frank Förster', 'Marta Romeo', 'Patrick Holthaus', 'Maria Jose Galvez Trigo', 'Joel E. Fischer', 'Birthe Nesset', 'Christian Dondrup', 'Christine Murad', 'Cosmin Munteanu', 'Benjamin R. Cowan', 'Leigh Clark', 'Martin Porcheron', 'Heloisa Candello', 'Raina Langevin']",ARXIV,http://arxiv.org/pdf/2401.04108v1,2023-09-04T16:26:37Z,2023-09-04T16:26:37Z,['10.48550/arXiv.2401.04108'],"Workshop proceedings of two co-located workshops ""Working with Troubles and Failures in Conversation with Humans and Robots"" (WTF 2023) and ""Is CUI Design Ready Yet?"", both of which were part of the ACM conference on conversational user interfaces 2023. WTF 23 aimed at bringing together researchers from human-robot interaction, dialogue systems, human-computer interaction, and conversation analysis. Despite all progress, robotic speech interfaces continue to be brittle in a number of ways and the experience of failure of such interfaces is commonplace amongst roboticists. However, the technical literature is positively skewed toward their good performance. The workshop aims to provide a platform for discussing communicative troubles and failures in human-robot interactions and related failures in non-robotic speech interfaces. Aims include a scrupulous investigation into communicative failures, to begin working on a taxonomy of such failures, and enable a preliminary discussion on possible mitigating strategies. Workshop website: https://sites.google.com/view/wtf2023/overview Is CUI Design Ready Yet? As CUIs become more prevalent in both academic research and the commercial market, it becomes more essential to design usable and adoptable CUIs. While research has been growing on the methods for designing CUIs for commercial use, there has been little discussion on the overall community practice of developing design resources to aid in practical CUI design. The aim of this workshop, therefore, is to bring the CUI community together to discuss the current practices for developing tools and resources for practical CUI design, the adoption (or non-adoption) of these tools and resources, and how these resources are utilized in the training and education of new CUI designers entering the field. Workshop website: https://speech-interaction.org/cui2023_design_workshop/index.html"
2401.05718,Periodic homogenisation for two dimensional generalised parabolic Anderson model,"['Yilin Chen', 'Benjamin Fehrman', 'Weijun Xu']",ARXIV,http://arxiv.org/pdf/2401.05718v1,2024-01-11T07:47:56Z,2024-01-11T07:47:56Z,['10.48550/arXiv.2401.05718'],"We consider the periodic homogenisation problem for the generalised parabolic Anderson model on two dimensional torus. We show that, for the renormalisation that respects Wick ordering, the homogenisation and renormalisation procedures commute. The main novelty is to identify a suitable ansatz for the solution on top of the usual para-controlled ansatz to set up a fixed point problem uniform in the homogenisation parameter. After that, one further utilises cancellations and resonances from the homogenisation oscillations to show convergence of both the solution and flux to the right limits. At a technical level, we frequently use integration by parts as well as ""completing the products"" to circumvent the incompatibility between para-products and variable coefficients. As a byproduct, we also show that the standard two dimensional generalised parabolic Anderson model can be constructed with para-controlled calculus without using commutator estimates."
2401.05850,Contrastive Loss Based Frame-wise Feature disentanglement for Polyphonic Sound Event Detection,"['Yadong Guan', 'Jiqing Han', 'Hongwei Song', 'Wenjie Song', 'Guibin Zheng', 'Tieran Zheng', 'Yongjun He']",ARXIV,http://arxiv.org/pdf/2401.05850v1,2024-01-11T11:39:21Z,2024-01-11T11:39:21Z,['10.48550/arXiv.2401.05850'],"Overlapping sound events are ubiquitous in real-world environments, but existing end-to-end sound event detection (SED) methods still struggle to detect them effectively. A critical reason is that these methods represent overlapping events using shared and entangled frame-wise features, which degrades the feature discrimination. To solve the problem, we propose a disentangled feature learning framework to learn a category-specific representation. Specifically, we employ different projectors to learn the frame-wise features for each category. To ensure that these feature does not contain information of other categories, we maximize the common information between frame-wise features within the same category and propose a frame-wise contrastive loss. In addition, considering that the labeled data used by the proposed method is limited, we propose a semi-supervised frame-wise contrastive loss that can leverage large amounts of unlabeled data to achieve feature disentanglement. The experimental results demonstrate the effectiveness of our method."
